Effect,Model,Effect Type,Knob Names,Knob Type,Setting,Amps
blues driver,Boss  BD-2 Blues Driver,distortion,"['level', 'tone', 'gain']","['volume','eq','effect amount']","[0.5,0.5,1.0]","Fender Twin Reverb, Vox AC30, Marshall JTM45"
tube screamer,Ibanez Mini Tube Screamer,distortion,"['tone', 'overdrive', 'level']","['eq','effect amount','volume']","[0.5,1.0,0.5]","Marshall Plexi, Mesa Boogie Dual Rectifier, Fender Deluxe Reverb"
distortion,Pro Co Sound RAT2 Distortion,distortion,"['distortion', 'filter', 'volume']","['effect amount','eq','volume']","[1.0, 0.5,1.0]","Mesa Boogie Rectifier, EVH 5150, Marshall JCM800"
chorus,Boss CE-3 Chorus,modulation,"['rate', 'depth', 'stereo mode']","['rate','effect amount','selector']","['120 bpm', 1.0, False]","Roland Jazz Chorus (JC-120), Fender Twin Reverb, Mesa Lonestar"
flanger,Mooer E-Lady,modulation,"['color', 'type', 'range', 'rate']","['eq','selector','effect amount','rate']","[0.5, 'normal', 1.0, '120 bpm']","Marshall Silver Jubilee, Orange Rockerverb, Vox AC30"
phaser,MXR Phase 45,modulation,['speed'],['rate'],['120 bpm'],"Marshall Plexi, Fender Twin Reverb, Dumble Overdrive Special"
tape echo,Line 6 DL4 Delay,delay,"['effect selector', 'delay time', 'repeats', 'tweak (bass)', 'tweez (treble)', 'mix']","['selector', 'rate', 'effect decay', 'eq', 'eq', 'effect amount']","['tape echo', '120 bpm', 0.6, 0.5, 0.5, 0.5]","Roland Space Echo, Fender Deluxe, Vox AC15"
digital delay,Line 6 DL4 Delay,delay,"['effect selector', 'delay time', 'repeats', 'tweak (bass)', 'tweez (treble)', 'mix']","['selector', 'rate', 'effect decay', 'eq', 'eq', 'effect amount']","['digital delay', '120 bpm', 0.6, 0.5, 0.5, 0.5] ","Line 6 Echo Pro, Fractal Audio Delay, Strymon Timeline"
sweep echo,Line 6 DL4 Delay,delay,"['effect selector', 'delay time', 'repeats', 'tweak (sweep speed)', 'tweez (sweep depth)', 'mix']","['selector', 'rate', 'effect decay', 'rate', 'effect amount', 'effect amount']","['sweep echo', '120 bpm', 0.6, '120 bpm',1.0,0.5]","TC Electronic Flashback, Boss DD-200, Eventide H90"
plate reverb,Orange CR-60 Combo Amplifier,reverb,"['volume', 'bass', 'treble', 'type', 'reverb', 'master volume', 'clean']","['volume','eq','eq','selector','effect amount', 'volume', 'selector']","[0.5, 0.5, 0.5, 'plate', 1.0, 0.2, True]","Fender Twin Reverb, Universal Audio Plate 140, Marshall JCM800"
hall reverb,Orange CR-60 Combo Amplifier,reverb,"['volume', 'bass', 'treble', 'type', 'reverb', 'master volume', 'clean']","['volume','eq','eq','selector','effect amount', 'volume', 'selector']","[0.5, 0.5, 0.5, 'hall', 1.0, 0.2, True]","Vox AC30, Line 6 Verbzilla, Fractal Audio Hall Reverb"
spring reverb,Orange CR-60 Combo Amplifier,reverb,"['volume', 'bass', 'treble', 'type', 'reverb', 'master volume', 'clean']","['volume','eq','eq','selector','effect amount', 'volume', 'selector']","[0.5, 0.5, 0.5, 'spring', 1.0, 0.2, True]","Fender Twin Reverb, Vox AC15, Supro 1605R"